Page,Keyword,Position,Clicks,Impressions,CTR
https://comparadorinternet.co/movistar,""movistar" "fibra"",5,0,1,0
https://comparadorinternet.co/movistar,""movistar" "hogar"",6,0,1,0
https://comparadorinternet.co/movistar,""movistar" "internet"",8,0,1,0
https://comparadorinternet.co/movistar,"banda ancha movistar",99,0,1,0
https://comparadorinternet.co/movistar,"contratar internet hogar movistar",87,0,1,0
https://comparadorinternet.co/etb,"empresa de telecomunicaciones de bogota",69,0,1,0
https://comparadorinternet.co/etb,"etb bogota",32,0,1,0
https://comparadorinternet.co/etb,"etb facatativa",61,0,1,0
https://comparadorinternet.co/etb,"etb hogar planes",65.4,0,11,0
https://comparadorinternet.co/etb,"etb hogares",76.1,0,7,0
https://comparadorinternet.co/claro,"claro colombia internet planes tarifas",16.3,0,11,0
https://comparadorinternet.co/claro,"claro colombia internet plans",17.9,0,10,0
https://comparadorinternet.co/claro,"claro internet",43,0,5,0
https://comparadorinternet.co/claro,"claro internet colombia",26,0,1,0
https://comparadorinternet.co/claro,"fibra optica claro precio",53,0,1,0